caption,instance_id,mapped_class,split,image_path,class_label,attributes,color,material,condition,size
new small black wrist watch face,Team14_BlackWatch_A,wristwatch,val,pooled_images/team14_wrist_watch (1).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black plastic watch from side,Team14_BlackWatch_B,wristwatch,train,pooled_images/team14_wrist_watch (2).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small yellow metal watch lying straight,Team14_YellowWatch_A,wristwatch,val,pooled_images/team14_wrist_watch (3).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small black leather watch,Team14_BlackWatch_C,wristwatch,train,pooled_images/team14_wrist_watch (4).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black wrist watch face,Team14_BlackWatch_D,wristwatch,train,pooled_images/team14_wrist_watch (5).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small yellow metal watch lying sideways,Team14_YellowWatch_B,wristwatch,train,pooled_images/team14_wrist_watch (6).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small black leather watch sideways,Team14_BlackWatch_E,wristwatch,val,pooled_images/team14_wrist_watch (7).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small silver leather watch from side,Team14_SilverWatch_A,wristwatch,train,pooled_images/team14_wrist_watch (8).jpg,clothing_wrist_watch,color:silver;condition:new;material:unknown;size:small,silver,unknown,new,small
new small black leather watch from side,Team14_BlackWatch_AS,wristwatch,train,pooled_images/team14_wrist_watch (9).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small yellow metal wrist watch face,Team14_YellowWatch_C,wristwatch,val,pooled_images/team14_wrist_watch (10).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small black plastic watch from side,Team14_BlackWatch_F,wristwatch,val,pooled_images/team14_wrist_watch (11).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small silver metal watch from side,Team14_SilverWatch_B,wristwatch,val,pooled_images/team14_wrist_watch (12).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small silver metal watch lying diagonally,Team14_SilverWatch_C,wristwatch,train,pooled_images/team14_wrist_watch (13).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small silver metal watch lying sideways,Team14_SilverWatch_V,wristwatch,train,pooled_images/team14_wrist_watch (14).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small yellow metal watch lying straight,Team14_SilverWatch_D,wristwatch,train,pooled_images/team14_wrist_watch (16).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small yellow metal watch lying sideways,Team14_YellowWatch_E,wristwatch,val,pooled_images/team14_wrist_watch (17).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small silver metal watch from side,Team14_SilverWatch_E,wristwatch,train,pooled_images/team14_wrist_watch (19).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small black plastic wrist watch from side,Team14_BlackWatch_G,wristwatch,train,pooled_images/team14_wrist_watch (20).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small silver leather wrist watch from side,Team14_SilverWatch_F,wristwatch,val,pooled_images/team14_wrist_watch (21).jpg,clothing_wrist_watch,color:silver;condition:new;material:unknown;size:small,silver,unknown,new,small
new small black plastic watch from side,Team14_BlackWatch_H,wristwatch,train,pooled_images/team14_wrist_watch (22).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small yellow metal watch from side,Team14_YellowWatch_F,wristwatch,train,pooled_images/team14_wrist_watch (23).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small black plastic watch upside down,Team14_BlackWatch_I,wristwatch,train,pooled_images/team14_wrist_watch (24).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small silver leather watch from side,Team14_SilverWatch_G,wristwatch,val,pooled_images/team14_wrist_watch (25).jpg,clothing_wrist_watch,color:silver;condition:new;material:unknown;size:small,silver,unknown,new,small
new small black leather watch from front,Team14_BlackWatch_J,wristwatch,train,pooled_images/team14_wrist_watch (26).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small yellow metal watch from top,Team14_YellowWatch_G,wristwatch,train,pooled_images/team14_wrist_watch (27).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small yellow metal watch from front,Team14_YellowWatch_H,wristwatch,train,pooled_images/team14_wrist_watch (28).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small black leather watch from front,Team14_BlackWatch_K,wristwatch,train,pooled_images/team14_wrist_watch (29).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black analog wrist watch,Team14_BlackWatch_L,wristwatch,train,pooled_images/team14_wrist_watch (30).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black metal analog watch,Team14_BlackWatch_M,wristwatch,train,pooled_images/team14_wrist_watch (31).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small silver metal watch from side,Team14_SilverWatch_H,wristwatch,train,pooled_images/team14_wrist_watch (32).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small black metal watch from back,Team14_BlackWatch_N,wristwatch,val,pooled_images/team14_wrist_watch (33).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small silver metal watch analog,Team14_SilverWatch_J,wristwatch,train,pooled_images/team14_wrist_watch (35).jpg,clothing_wrist_watch,color:white;condition:new;material:metal;size:small,white,metal,new,small
new small black metal watch analog,Team14_BlackWatch_O,wristwatch,train,pooled_images/team14_wrist_watch (36).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small silver metal watch flipped over,Team14_SilverWatch_K,wristwatch,val,pooled_images/team14_wrist_watch (37).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small blue leather watch lying straight,Team14_BlueWatch_B,wristwatch,train,pooled_images/team14_wrist_watch (39).jpg,clothing_wrist_watch,color:blue;condition:new;material:unknown;size:small,blue,unknown,new,small
new small blue leather watch from front,Team14_BlueWatch_C,wristwatch,train,pooled_images/team14_wrist_watch (40).jpg,clothing_wrist_watch,color:blue;condition:new;material:unknown;size:small,blue,unknown,new,small
new small black leather watch from top,Team14_BlackWatch_P,wristwatch,train,pooled_images/team14_wrist_watch (41).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small metal silver watch from top,Team14_SilverWatch_L,wristwatch,train,pooled_images/team14_wrist_watch (42).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small black leather watch from side,Team14_BlackWatch_R,wristwatch,train,pooled_images/team14_wrist_watch (44).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black leather smart watch,Team14_BlackWatch_S,wristwatch,val,pooled_images/team14_wrist_watch (45).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small yellow metal watch from side,Team14_YellowWatch_I,wristwatch,train,pooled_images/team14_wrist_watch (46).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small orange rubber smart watch,Team14_OrangeWatch_A,wristwatch,train,pooled_images/team14_wrist_watch (47).jpg,clothing_wrist_watch,color:unknown;condition:new;material:rubber;size:small,unknown,rubber,new,small
