split,instance_id,caption,image_path,mapped_class,class_label,attributes,color,material,condition,size
val,Team14_BlackWatch_A,new small black wrist watch face,pooled_images/team14_wrist_watch (1).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_B,new small black plastic watch from side,pooled_images/team14_wrist_watch (2).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
val,Team14_YellowWatch_A,new small yellow metal watch lying straight,pooled_images/team14_wrist_watch (3).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
train,Team14_BlackWatch_C,new small black leather watch,pooled_images/team14_wrist_watch (4).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_D,new small black wrist watch face,pooled_images/team14_wrist_watch (5).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_YellowWatch_B,new small yellow metal watch lying sideways,pooled_images/team14_wrist_watch (6).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
val,Team14_BlackWatch_E,new small black leather watch sideways,pooled_images/team14_wrist_watch (7).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_SilverWatch_A,new small silver leather watch from side,pooled_images/team14_wrist_watch (8).jpg,wristwatch,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,silver,unknown,new,small
train,Team14_BlackWatch_AS,new small black leather watch from side,pooled_images/team14_wrist_watch (9).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_YellowWatch_C,new small yellow metal wrist watch face,pooled_images/team14_wrist_watch (10).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
val,Team14_BlackWatch_F,new small black plastic watch from side,pooled_images/team14_wrist_watch (11).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
val,Team14_SilverWatch_B,new small silver metal watch from side,pooled_images/team14_wrist_watch (12).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_SilverWatch_C,new small silver metal watch lying diagonally,pooled_images/team14_wrist_watch (13).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_SilverWatch_V,new small silver metal watch lying sideways,pooled_images/team14_wrist_watch (14).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_SilverWatch_D,new small yellow metal watch lying straight,pooled_images/team14_wrist_watch (16).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
val,Team14_YellowWatch_E,new small yellow metal watch lying sideways,pooled_images/team14_wrist_watch (17).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
train,Team14_SilverWatch_E,new small silver metal watch from side,pooled_images/team14_wrist_watch (19).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_BlackWatch_G,new small black plastic wrist watch from side,pooled_images/team14_wrist_watch (20).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
val,Team14_SilverWatch_F,new small silver leather wrist watch from side,pooled_images/team14_wrist_watch (21).jpg,wristwatch,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,silver,unknown,new,small
train,Team14_BlackWatch_H,new small black plastic watch from side,pooled_images/team14_wrist_watch (22).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
train,Team14_YellowWatch_F,new small yellow metal watch from side,pooled_images/team14_wrist_watch (23).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
